sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
204963,https://sofifa.com/player/204963/daniel-carvajal-ramos/20/159586,Carvajal,Daniel Carvajal Ramos,27,1992-01-11,173,73,Spain,Real Madrid,85,86,38000000,205000,RB,Right,3,3,3,High/High,Stocky,Yes,80800000.0,#Engine,RB,2.0,,2013-07-05,2022.0,RB,2.0,81.0,47.0,78.0,81.0,82.0,80.0,,,,,,,,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15,68.0,68.0,68+3,74+3,73+3,73+3,73+3,74+3,74+3,74+3,74+3,78+3,77+3,77+3,77+3,78+3,83+3,82+3,82+3,82+3,83+3,83+3,80+3,80.0,80+3,83.0
173731,https://sofifa.com/player/173731/gareth-bale/20/159586,G. Bale,Gareth Frank Bale,29,1989-07-16,185,82,Wales,Real Madrid,85,85,37500000,250000,"RW, LW, ST",Left,4,3,4,Medium/Medium,Lean,Yes,76900000.0,"#Speedster, #Distance Shooter, #Crosser, #FK Specialist",SUB,11.0,,2013-09-02,2022.0,RM,11.0,91.0,87.0,82.0,82.0,58.0,76.0,,,,,,,"Inflexible, Power Free-Kick, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",86,84,84,81,85,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79,76,85,54,55,52,15,15,11,5,6,84.0,84.0,84+3,84+3,84+3,84+3,84+3,84+3,82+3,82+3,82+3,83+3,78+3,78+3,78+3,83+3,72+3,69+3,69+3,69+3,72+3,70+3,66+3,66.0,66+3,70.0
176676,https://sofifa.com/player/176676/marcelo-vieira-da-silva/20/159586,Marcelo,Marcelo Vieira da Silva Júnior,31,1988-05-12,174,75,Brazil,Real Madrid,85,85,28000000,205000,LB,Left,4,4,5,High/Low,Normal,Yes,57400000.0,"#Dribbler, #Crosser",LB,12.0,,2007-01-01,2022.0,,,81.0,74.0,83.0,89.0,77.0,79.0,,,,,,,"Selfish, Speed Dribbler (CPU AI Only)",89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82,12,5,5,5,9,80.0,80.0,80+3,84+3,83+3,83+3,83+3,84+3,83+3,83+3,83+3,84+3,82+3,82+3,82+3,84+3,82+3,81+3,81+3,81+3,82+3,81+3,79+3,79.0,79+3,81.0
198710,https://sofifa.com/player/198710/james-rodriguez/20/159586,J. Rodríguez,James David Rodríguez Rubio,27,1991-07-12,180,75,Colombia,Real Madrid,85,85,40500000,225000,"CAM, CM, RM",Left,4,2,4,Medium/Medium,Normal,Yes,83000000.0,"#Playmaker  , #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",SUB,16.0,,2014-07-22,2020.0,CAM,10.0,55.0,86.0,87.0,86.0,50.0,63.0,,,,,,,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",90,83,62,86,90,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86,81,87,52,41,44,15,15,15,5,14,78.0,78.0,78+3,81+3,81+3,81+3,81+3,81+3,83+3,83+3,83+3,80+3,80+3,80+3,80+3,80+3,67+3,67+3,67+3,67+3,67+3,62+3,57+3,57.0,57+3,62.0
232432,https://sofifa.com/player/232432/luka-jovic/20/159586,L. Jović,Luka Jović,21,1997-12-23,182,85,Serbia,Real Madrid,83,89,36500000,155000,ST,Right,1,5,3,Medium/Medium,Stocky,Yes,82100000.0,#Poacher,SUB,18.0,,2019-07-01,2024.0,,,77.0,82.0,68.0,81.0,29.0,74.0,,,,,,,"Speed Dribbler (CPU AI Only), Outside Foot Shot",67,86,79,74,84,81,77,46,58,83,76,77,78,83,77,83,75,76,78,76,62,23,84,70,66,79,25,26,16,8,7,12,9,13,81.0,81.0,81+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,69+2,69+2,69+2,77+2,55+2,53+2,53+2,53+2,55+2,51+2,47+2,47.0,47+2,51.0
220834,https://sofifa.com/player/220834/marco-asensio-willemsen/20/159586,Marco Asensio,Marco Asensio Willemsen,23,1996-01-21,182,76,Spain,Real Madrid,83,87,34000000,180000,"LW, RW",Left,3,3,4,High/Medium,Normal,Yes,72300000.0,,SUB,20.0,,2015-07-01,2023.0,RW,20.0,81.0,80.0,82.0,84.0,43.0,62.0,,,,,,,Argues with Officials,82,78,57,82,79,85,83,76,81,87,83,80,79,78,76,86,58,79,61,84,45,45,81,82,62,83,40,42,39,13,9,6,12,10,78.0,78.0,78+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,78+3,78+3,78+3,82+3,66+3,63+3,63+3,63+3,66+3,62+3,52+3,52.0,52+3,62.0
200724,https://sofifa.com/player/200724/jose-ignacio-fernandez-iglesias/20/159586,Nacho Fernández,José Ignacio Fernández Iglesias,29,1990-01-18,180,76,Spain,Real Madrid,82,83,21000000,165000,"CB, LB, RB",Right,2,4,2,Medium/High,Normal,Yes,44600000.0,,SUB,6.0,,2010-08-01,2021.0,,,74.0,37.0,66.0,64.0,81.0,79.0,,,,,,,,70,32,80,78,38,55,55,37,61,78,68,78,60,77,69,54,81,78,79,28,78,81,37,53,45,73,77,85,84,12,7,10,15,7,57.0,57.0,57+2,60+2,58+2,58+2,58+2,60+2,60+2,60+2,60+2,64+2,65+2,65+2,65+2,64+2,77+2,76+2,76+2,76+2,77+2,78+2,80+2,80.0,80+2,78.0
240130,https://sofifa.com/player/240130/eder-gabriel-militao/20/159586,Éder Militão,Éder Gabriel Militão,21,1998-01-18,186,78,Brazil,Real Madrid,81,88,23000000,105000,"CB, RB",Right,1,2,2,Medium/High,Lean,No,51800000.0,,SUB,3.0,,2019-07-01,2025.0,,,79.0,50.0,66.0,71.0,81.0,81.0,,,,,,,,72,48,77,69,34,70,60,40,68,71,78,80,69,81,67,62,86,88,77,42,83,82,64,59,60,74,81,82,80,11,8,15,12,15,65.0,65.0,65+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,78+2,76+2,76+2,76+2,78+2,78+2,79+2,79.0,79+2,78.0
208618,https://sofifa.com/player/208618/lucas-vazquez-iglesias/20/159586,Lucas Vázquez,Lucas Vázquez Iglesias,28,1991-07-01,173,70,Spain,Real Madrid,81,81,18000000,180000,"RW, RM",Right,2,4,4,High/Low,Normal,Yes,36900000.0,,SUB,17.0,,2015-07-02,2021.0,,,82.0,73.0,79.0,82.0,58.0,69.0,,,,,,,,80,72,56,79,58,82,82,71,75,81,85,80,81,85,83,80,68,91,57,76,72,59,82,80,56,75,57,59,58,9,16,9,9,7,75.0,75.0,75+2,80+2,79+2,79+2,79+2,80+2,80+2,80+2,80+2,81+2,78+2,78+2,78+2,81+2,73+2,70+2,70+2,70+2,73+2,70+2,62+2,62.0,62+2,70.0
228618,https://sofifa.com/player/228618/ferland-mendy/20/159586,F. Mendy,Ferland Mendy,24,1995-06-08,180,73,France,Real Madrid,80,86,18000000,115000,LB,Left,1,5,4,High/Medium,Normal,No,40500000.0,,SUB,23.0,,2019-07-01,2025.0,SUB,22.0,89.0,64.0,73.0,79.0,75.0,81.0,,,,,,,"Selfish, Early Crosser",74,63,69,77,50,80,72,35,76,76,90,88,80,82,78,69,78,88,78,64,78,75,80,73,49,78,73,78,77,7,16,9,10,9,73.0,73.0,73+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,78+2,76+2,76+2,76+2,78+2,78+2,77+2,77+2,77+2,78+2,78+2,76+2,76.0,76+2,78.0
234035,https://sofifa.com/player/234035/alvaro-odriozola-arzalluz/20/159586,Odriozola,Álvaro Odriozola Arzalluz,23,1995-12-14,176,66,Spain,Real Madrid,80,85,17500000,115000,RB,Right,1,3,3,High/Medium,Lean,Yes,37200000.0,,SUB,19.0,,2018-07-05,2024.0,,,89.0,53.0,71.0,77.0,77.0,69.0,,,,,,,,81,45,73,77,48,76,69,30,70,77,88,90,79,77,78,58,71,85,64,59,63,75,68,63,62,69,77,78,79,11,12,10,5,14,67.0,67.0,67+2,73+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,75+2,72+2,72+2,72+2,75+2,79+2,74+2,74+2,74+2,79+2,79+2,74+2,74.0,74+2,79.0
238794,https://sofifa.com/player/238794/vinicius-jose-de-oliveira-junior/20/159586,Vinícius Jr.,Vinícius José de Oliveira Júnior,18,2000-07-12,176,73,Brazil,Real Madrid,79,92,22500000,60000,LW,Right,2,4,5,High/Medium,Lean,Yes,60200000.0,"#Speedster, #Dribbler, #Acrobat",RW,28.0,,2018-07-12,2025.0,,,93.0,70.0,71.0,85.0,29.0,63.0,,,,,,,"Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",71,68,50,73,70,86,77,62,67,82,92,94,93,77,83,74,75,79,60,68,48,26,76,73,65,77,32,25,18,5,7,7,7,10,73.0,73.0,73+2,79+2,77+2,77+2,77+2,79+2,77+2,77+2,77+2,78+2,70+2,70+2,70+2,78+2,58+2,53+2,53+2,53+2,58+2,53+2,43+2,43.0,43+2,53.0
221639,https://sofifa.com/player/221639/mariano-diaz-mejia/20/159586,Mariano,Mariano Díaz Mejía,25,1993-08-01,180,76,Dominican Republic,Real Madrid,79,82,16000000,145000,ST,Right,1,4,3,High/Medium,Stocky,No,34000000.0,,SUB,24.0,,2018-08-29,2023.0,,,82.0,80.0,61.0,73.0,45.0,80.0,,,,,,,"Long Throw-in, Power Free-Kick, Injury Free, Argues with Officials, Long Passer (CPU AI Only)",50,79,82,66,70,73,76,76,51,72,81,83,78,78,72,85,92,78,78,82,84,45,78,63,75,68,41,40,34,12,14,6,8,15,78.0,78.0,78+2,72+2,75+2,75+2,75+2,72+2,71+2,71+2,71+2,70+2,65+2,65+2,65+2,70+2,58+2,58+2,58+2,58+2,58+2,57+2,58+2,58.0,58+2,57.0
239053,https://sofifa.com/player/239053/federico-valverde/20/159586,F. Valverde,Federico Valverde,20,1998-07-22,182,78,Uruguay,Real Madrid,77,85,13000000,86000,"CM, LM, CDM",Right,1,3,3,Medium/Medium,Normal,Yes,29300000.0,,RES,15.0,,2016-07-22,2021.0,,,68.0,69.0,73.0,73.0,66.0,67.0,,,,,,,,56,67,49,80,43,72,59,48,83,76,66,69,68,75,65,77,44,67,68,77,69,69,66,78,42,80,70,69,53,6,10,6,15,8,68.0,68.0,68+2,70+2,72+2,72+2,72+2,70+2,74+2,74+2,74+2,71+2,75+2,75+2,75+2,71+2,67+2,72+2,72+2,72+2,67+2,66+2,65+2,65.0,65+2,66.0
243812,https://sofifa.com/player/243812/rodrygo-silva-de-goes/20/159586,Rodrygo,Rodrygo Silva de Goes,18,2001-01-09,174,64,Brazil,Real Madrid,76,89,14000000,47000,"LW, RW, ST",Right,1,3,4,Medium/Medium,Lean,No,37500000.0,,RES,27.0,,2019-07-01,2025.0,,,85.0,72.0,65.0,80.0,29.0,57.0,,,,,,,"Selfish, Crowd Favourite",70,74,62,67,67,81,72,73,45,76,86,84,87,77,84,71,73,82,44,70,54,21,80,68,65,81,25,28,24,9,8,12,8,5,73.0,73.0,73+2,76+2,75+2,75+2,75+2,76+2,73+2,73+2,73+2,74+2,65+2,65+2,65+2,74+2,56+2,48+2,48+2,48+2,56+2,52+2,41+2,41.0,41+2,52.0
209749,https://sofifa.com/player/209749/lucas-silva-borges/20/159586,Lucas Silva,Lucas Silva Borges,26,1993-02-16,182,80,Brazil,Real Madrid,74,77,6500000,88000,"CDM, CM",Right,1,3,3,Medium/Medium,Normal,No,13800000.0,,RES,29.0,,2015-01-26,2020.0,,,59.0,62.0,68.0,71.0,71.0,74.0,,,,,,,"Leadership, Argues with Officials",61,52,64,74,50,71,56,51,72,75,56,61,64,73,62,76,71,75,74,73,72,71,65,71,64,72,70,74,72,11,7,10,14,7,66.0,66.0,66+2,66+2,68+2,68+2,68+2,66+2,69+2,69+2,69+2,67+2,72+2,72+2,72+2,67+2,70+2,72+2,72+2,72+2,70+2,69+2,71+2,71.0,71+2,69.0
231410,https://sofifa.com/player/231410/brahim-diaz/20/159586,Brahim,Brahim Díaz,19,1999-08-03,171,68,Spain,Real Madrid,73,86,7500000,58000,"LW, RW",Left,1,5,4,High/Medium,Normal,Yes,20100000.0,,RES,21.0,,2019-01-06,2025.0,,,78.0,66.0,63.0,81.0,29.0,43.0,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot, Crowd Favourite",60,67,30,71,44,81,68,47,50,80,81,75,83,70,86,70,65,56,35,65,41,20,67,66,58,70,43,23,21,13,9,13,10,6,65.0,65.0,65+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,70+2,63+2,63+2,63+2,70+2,52+2,47+2,47+2,47+2,52+2,47+2,37+2,37.0,37+2,47.0
237681,https://sofifa.com/player/237681/takefusa-kubo/20/159586,T. Kubo,久保 建英,18,2001-06-04,173,67,Japan,Real Madrid,70,87,3700000,21000,"RM, CF",Left,1,4,4,High/Medium,Lean,No,9800000.0,,RES,26.0,,2019-07-01,2025.0,,,82.0,60.0,62.0,78.0,39.0,52.0,,,,,,,Crowd Favourite,55,64,39,67,57,79,68,72,54,78,89,77,83,61,83,61,54,72,45,52,43,29,62,60,61,64,40,43,48,6,7,15,10,10,63.0,63.0,63+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,57+2,52+2,52+2,52+2,57+2,55+2,45+2,45.0,45+2,55.0
244523,https://sofifa.com/player/244523/javier-hernandez-carrera/20/159586,Javi Hernández,Javier Hernández Carrera,21,1998-05-02,182,72,Spain,Real Madrid,69,83,2200000,33000,"CB, LWB",Left,1,2,3,Medium/Medium,Normal,No,5800000.0,,RES,37.0,,2015-07-01,2020.0,,,69.0,47.0,62.0,66.0,69.0,67.0,,,,,,,,67,31,67,68,36,65,64,35,59,66,70,69,69,65,65,65,69,70,68,63,59,70,61,54,42,67,68,70,69,14,6,9,6,12,58.0,58.0,58+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,68+2,66+2,66+2,66+2,68+2,68+2,67+2,67.0,67+2,68.0
245287,https://sofifa.com/player/245287/sergio-lopez-galache/20/159586,Sergio López,Sergio López Galache,20,1999-04-08,179,66,Spain,Real Madrid,66,82,1300000,20000,RB,Right,1,3,3,High/Medium,Lean,No,3500000.0,,RES,30.0,,2018-07-01,2022.0,,,80.0,55.0,62.0,67.0,62.0,58.0,,,,,,,,67,52,64,66,48,68,61,41,56,65,78,81,69,65,72,63,61,61,53,59,67,60,50,60,43,62,63,61,63,12,12,11,7,13,60.0,60.0,60+2,64+2,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,61+2,61+2,61+2,64+2,65+2,61+2,61+2,61+2,65+2,65+2,62+2,62.0,62+2,65.0
246608,https://sofifa.com/player/246608/alvaro-fidalgo-fernandez/20/159586,Fidalgo,Álvaro Fidalgo Fernández,22,1997-04-09,175,68,Spain,Real Madrid,66,76,1000000,27000,"CAM, CM, LM",Right,1,3,3,High/Medium,Lean,No,2300000.0,,RES,32.0,,2016-07-01,2020.0,,,64.0,50.0,66.0,69.0,49.0,55.0,,,,,,,,61,49,44,69,46,68,62,53,65,70,65,63,68,62,77,54,51,64,49,48,62,52,59,70,49,68,46,51,47,10,9,10,11,9,57.0,57.0,57+2,63+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,58+2,59+2,59+2,59+2,58+2,56+2,52+2,52.0,52+2,56.0
245290,https://sofifa.com/player/245290/adrian-de-la-fuente/20/159586,De la Fuente,Adrián de la Fuente,20,1999-02-22,179,78,Spain,Real Madrid,65,81,1100000,18000,CB,Right,1,3,2,Medium/High,Normal,No,3000000.0,,RES,35.0,,2018-07-01,2020.0,,,57.0,39.0,50.0,55.0,64.0,66.0,,,,,,,,48,35,62,56,34,53,44,35,53,57,58,57,55,61,61,49,69,58,69,39,70,64,34,42,43,60,62,65,64,15,6,7,10,6,49.0,49.0,49+2,49+2,49+2,49+2,49+2,49+2,49+2,49+2,49+2,51+2,52+2,52+2,52+2,51+2,58+2,60+2,60+2,60+2,58+2,59+2,63+2,63.0,63+2,59.0
247411,https://sofifa.com/player/247411/diego-altube-suarez/20/159586,Altube,Diego Altube Suárez,19,2000-02-22,188,85,Spain,Real Madrid,62,82,550000,6000,GK,Right,1,3,1,Medium/Medium,Lean,No,1700000.0,,RES,34.0,,2018-07-01,2020.0,,,,54.0,,,56.0,,62.0,58.0,63.0,63.0,16.0,59.0,,11,8,14,27,6,12,14,14,29,14,17,15,29,62,37,47,53,25,59,8,25,8,5,32,12,33,6,14,14,62,58,63,59,63,,,,,,,,,,,,,,,,,,,,,,,,,,
